Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.4694 |  0.4718 |     1.7095 |   2.2292
    5 |    0.6279 |  0.7641 |     1.2861 |   1.3816
   10 |    0.6654 |  0.8106 |     1.2419 |   1.1314
   15 |    0.6770 |  0.8405 |     0.9224 |   1.0523
   20 |    0.6796 |  0.8272 |     0.8722 |   1.0046
   25 |    0.6736 |  0.8206 |     0.8883 |   1.0147
   30 |    0.6705 |  0.8106 |     1.0015 |   1.0543
   35 |    0.6770 |  0.7973 |     0.9320 |   1.0827
   40 |    0.6960 |  0.8239 |     0.8218 |   0.9894
   45 |    0.6878 |  0.8206 |     0.8542 |   1.0440
   50 |    0.7084 |  0.8339 |     0.8067 |   0.9632
   55 |    0.7149 |  0.8239 |     0.8352 |   0.9136
   60 |    0.6998 |  0.8173 |     0.7857 |   1.1993
   65 |    0.7476 |  0.8272 |     0.7673 |   1.0113
   70 |    0.7076 |  0.8272 |     0.7910 |   0.9311
   75 |    0.7183 |  0.8239 |     0.6722 |   0.9162
   80 |    0.7494 |  0.8339 |     0.7143 |   0.9149
   85 |    0.7097 |  0.8206 |     0.6658 |   0.9424
   90 |    0.7661 |  0.8439 |     0.6181 |   0.8880
   95 |    0.7550 |  0.8439 |     0.6124 |   0.8813
  100 |    0.7717 |  0.8405 |     0.5972 |   0.8812
  105 |    0.7661 |  0.8505 |     0.6237 |   0.8821
  110 |    0.7821 |  0.8439 |     0.5830 |   0.8907
  115 |    0.7717 |  0.8439 |     0.5913 |   0.8977
  120 |    0.7842 |  0.8472 |     0.5893 |   0.8866
  125 |    0.7864 |  0.8439 |     0.5852 |   0.8808
  130 |    0.7739 |  0.8439 |     0.5772 |   0.8923
  135 |    0.7799 |  0.8405 |     0.5781 |   0.8965
  140 |    0.7860 |  0.8372 |     0.5714 |   0.8849
  145 |    0.7890 |  0.8405 |     0.5650 |   0.8815
  150 |    0.7894 |  0.8439 |     0.5678 |   0.8929
