Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.6820 |  0.6958 |     0.3195 |   0.3106
    5 |    0.9316 |  0.9278 |     0.1393 |   0.1331
   10 |    0.9464 |  0.9475 |     0.0941 |   0.0872
   15 |    0.9179 |  0.9190 |     0.1197 |   0.1193
   20 |    0.8446 |  0.8359 |     0.1695 |   0.1776
   25 |    0.9447 |  0.9322 |     0.0846 |   0.0916
   30 |    0.9037 |  0.8862 |     0.1148 |   0.1303
   35 |    0.9606 |  0.9562 |     0.0615 |   0.0733
   40 |    0.9485 |  0.9475 |     0.0779 |   0.1018
   45 |    0.9617 |  0.9606 |     0.0549 |   0.0719
   50 |    0.9672 |  0.9628 |     0.0497 |   0.0729
   55 |    0.9573 |  0.9190 |     0.0538 |   0.0888
   60 |    0.7504 |  0.7265 |     0.2523 |   0.3062
   65 |    0.9759 |  0.9453 |     0.0432 |   0.0738
   70 |    0.9803 |  0.9475 |     0.0379 |   0.0774
   75 |    0.9759 |  0.9387 |     0.0399 |   0.0802
   80 |    0.9765 |  0.9387 |     0.0376 |   0.0806
   85 |    0.9628 |  0.9190 |     0.0437 |   0.0884
   90 |    0.9792 |  0.9387 |     0.0325 |   0.0836
   95 |    0.9797 |  0.9497 |     0.0318 |   0.0802
  100 |    0.9759 |  0.9278 |     0.0350 |   0.0825
  105 |    0.9825 |  0.9519 |     0.0306 |   0.0800
  110 |    0.9808 |  0.9431 |     0.0312 |   0.0801
  115 |    0.9808 |  0.9409 |     0.0313 |   0.0810
  120 |    0.9792 |  0.9278 |     0.0329 |   0.0828
  125 |    0.9781 |  0.9278 |     0.0334 |   0.0825
  130 |    0.9803 |  0.9322 |     0.0318 |   0.0820
  135 |    0.9814 |  0.9409 |     0.0309 |   0.0802
  140 |    0.9819 |  0.9409 |     0.0308 |   0.0803
  145 |    0.9754 |  0.9234 |     0.0342 |   0.0859
  150 |    0.9803 |  0.9365 |     0.0316 |   0.0823
