Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.7313 |  0.7472 |     0.3060 |   0.3054
    5 |    0.4664 |  0.4721 |     0.4300 |   0.4427
   10 |    0.8965 |  0.8922 |     0.1209 |   0.1205
   15 |    0.9272 |  0.9071 |     0.0950 |   0.1074
   20 |    0.8853 |  0.8401 |     0.1239 |   0.1710
   25 |    0.9226 |  0.8996 |     0.0920 |   0.1087
   30 |    0.9534 |  0.9033 |     0.0772 |   0.1039
   35 |    0.9254 |  0.9033 |     0.0848 |   0.1139
   40 |    0.8983 |  0.8476 |     0.1015 |   0.1608
   45 |    0.9067 |  0.8662 |     0.0970 |   0.1516
   50 |    0.9599 |  0.9108 |     0.0597 |   0.1029
   55 |    0.9683 |  0.9071 |     0.0568 |   0.1002
   60 |    0.9683 |  0.9108 |     0.0530 |   0.1036
   65 |    0.9729 |  0.9071 |     0.0550 |   0.1015
   70 |    0.9720 |  0.9108 |     0.0519 |   0.1042
   75 |    0.9701 |  0.9071 |     0.0522 |   0.1008
   80 |    0.9655 |  0.9071 |     0.0559 |   0.1102
   85 |    0.9720 |  0.9108 |     0.0504 |   0.1035
   90 |    0.9729 |  0.9145 |     0.0502 |   0.1023
   95 |    0.9646 |  0.9071 |     0.0552 |   0.1114
  100 |    0.9720 |  0.9108 |     0.0505 |   0.1040
  105 |    0.9701 |  0.9108 |     0.0508 |   0.1050
  110 |    0.9729 |  0.9108 |     0.0496 |   0.1016
  115 |    0.9711 |  0.9108 |     0.0499 |   0.1049
  120 |    0.9692 |  0.9108 |     0.0509 |   0.1058
  125 |    0.9674 |  0.9071 |     0.0519 |   0.1082
  130 |    0.9692 |  0.9108 |     0.0506 |   0.1059
  135 |    0.9720 |  0.9145 |     0.0497 |   0.1034
  140 |    0.9692 |  0.9108 |     0.0500 |   0.1051
  145 |    0.9674 |  0.9071 |     0.0516 |   0.1078
  150 |    0.9729 |  0.9145 |     0.0483 |   0.1025
