Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.4559 |  0.3787 |     2.1086 |   2.5007
    5 |    0.3580 |  0.4283 |     1.9400 |   2.4052
   10 |    0.3791 |  0.4724 |     1.8566 |   2.2991
   15 |    0.2013 |  0.2279 |     3.0303 |   3.8480
   20 |    0.5543 |  0.6857 |     1.3337 |   1.6289
   25 |    0.3439 |  0.3952 |     2.2035 |   2.6729
   30 |    0.3999 |  0.4743 |     1.6554 |   2.0228
   35 |    0.4592 |  0.5221 |     1.4544 |   2.0677
   40 |    0.4832 |  0.5680 |     1.5937 |   1.9344
   45 |    0.4993 |  0.6011 |     1.4551 |   1.9241
   50 |    0.5142 |  0.6158 |     1.2647 |   1.7370
   55 |    0.4881 |  0.5993 |     1.4326 |   1.8801
   60 |    0.4694 |  0.5717 |     1.4965 |   1.9494
   65 |    0.4957 |  0.5993 |     1.3607 |   1.9114
   70 |    0.5165 |  0.6232 |     1.3175 |   1.7989
   75 |    0.4664 |  0.5607 |     1.4672 |   1.9449
   80 |    0.4934 |  0.5864 |     1.4324 |   1.9198
   85 |    0.4875 |  0.5754 |     1.4561 |   1.9473
   90 |    0.5059 |  0.5974 |     1.3431 |   1.8189
   95 |    0.5119 |  0.6066 |     1.2965 |   1.8118
  100 |    0.5171 |  0.6176 |     1.3280 |   1.8189
  105 |    0.5033 |  0.5938 |     1.3416 |   1.8521
  110 |    0.5119 |  0.6066 |     1.3078 |   1.7979
  115 |    0.5049 |  0.5974 |     1.3395 |   1.8514
  120 |    0.5082 |  0.6011 |     1.3279 |   1.8250
  125 |    0.5023 |  0.5882 |     1.3431 |   1.8452
  130 |    0.5234 |  0.6213 |     1.2740 |   1.7618
  135 |    0.5000 |  0.5846 |     1.3798 |   1.8827
  140 |    0.5155 |  0.6121 |     1.2904 |   1.7943
  145 |    0.5026 |  0.5993 |     1.3457 |   1.8388
  150 |    0.5155 |  0.6103 |     1.3214 |   1.8107
