Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.5296 |  0.5604 |     1.4552 |   1.7985
    5 |    0.6403 |  0.7619 |     1.1091 |   1.3637
   10 |    0.6739 |  0.8425 |     1.1622 |   0.9399
   15 |    0.6913 |  0.8535 |     0.8453 |   0.8939
   20 |    0.6681 |  0.8150 |     0.9162 |   0.9686
   25 |    0.7090 |  0.8553 |     0.7469 |   0.8991
   30 |    0.6904 |  0.8608 |     0.8892 |   0.8098
   35 |    0.7120 |  0.8590 |     0.7422 |   0.8190
   40 |    0.6964 |  0.8480 |     0.9136 |   0.8713
   45 |    0.7177 |  0.8425 |     0.7257 |   0.8221
   50 |    0.7249 |  0.8590 |     0.7689 |   0.7740
   55 |    0.7281 |  0.8571 |     0.7655 |   0.8201
   60 |    0.7145 |  0.8516 |     0.7476 |   0.8188
   65 |    0.7389 |  0.8498 |     0.6968 |   0.8126
   70 |    0.7359 |  0.8663 |     0.6698 |   0.7935
   75 |    0.7657 |  0.8700 |     0.6628 |   0.7869
   80 |    0.7522 |  0.8663 |     0.6671 |   0.7963
   85 |    0.7676 |  0.8553 |     0.6619 |   0.8040
   90 |    0.7738 |  0.8590 |     0.6417 |   0.7892
   95 |    0.7650 |  0.8645 |     0.6721 |   0.7627
  100 |    0.7692 |  0.8663 |     0.6521 |   0.7843
  105 |    0.7595 |  0.8626 |     0.6412 |   0.7878
  110 |    0.7719 |  0.8608 |     0.6308 |   0.7754
  115 |    0.7559 |  0.8681 |     0.6570 |   0.7815
  120 |    0.7600 |  0.8663 |     0.6550 |   0.7784
  125 |    0.7662 |  0.8700 |     0.6357 |   0.7766
  130 |    0.7664 |  0.8645 |     0.6440 |   0.7787
  135 |    0.7694 |  0.8608 |     0.6243 |   0.7717
  140 |    0.7738 |  0.8626 |     0.6432 |   0.7705
  145 |    0.7786 |  0.8681 |     0.6393 |   0.7754
  150 |    0.7774 |  0.8663 |     0.6246 |   0.7829
