Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.7312 |  0.8090 |     0.2886 |   0.2732
    5 |    0.6541 |  0.6629 |     0.2820 |   0.2803
   10 |    0.8938 |  0.9139 |     0.1623 |   0.1559
   15 |    0.8806 |  0.8876 |     0.1377 |   0.1225
   20 |    0.9258 |  0.9288 |     0.0976 |   0.1025
   25 |    0.9192 |  0.9139 |     0.0974 |   0.1087
   30 |    0.9276 |  0.9251 |     0.0953 |   0.1144
   35 |    0.8929 |  0.8989 |     0.1154 |   0.1598
   40 |    0.9370 |  0.9251 |     0.0826 |   0.0988
   45 |    0.9126 |  0.9176 |     0.1025 |   0.1417
   50 |    0.9389 |  0.9363 |     0.0704 |   0.1057
   55 |    0.9521 |  0.9401 |     0.0621 |   0.0923
   60 |    0.9605 |  0.9438 |     0.0521 |   0.0921
   65 |    0.9530 |  0.9251 |     0.0608 |   0.1194
   70 |    0.9643 |  0.9326 |     0.0476 |   0.0950
   75 |    0.9483 |  0.9213 |     0.0612 |   0.1224
   80 |    0.9699 |  0.9438 |     0.0430 |   0.1047
   85 |    0.9624 |  0.9288 |     0.0456 |   0.1093
   90 |    0.9718 |  0.9401 |     0.0421 |   0.1016
   95 |    0.9718 |  0.9401 |     0.0429 |   0.1097
  100 |    0.9662 |  0.9401 |     0.0453 |   0.1177
  105 |    0.9680 |  0.9401 |     0.0433 |   0.1159
  110 |    0.9652 |  0.9363 |     0.0446 |   0.1170
  115 |    0.9727 |  0.9401 |     0.0407 |   0.1117
  120 |    0.9727 |  0.9401 |     0.0402 |   0.1098
  125 |    0.9746 |  0.9401 |     0.0381 |   0.1047
  130 |    0.9718 |  0.9401 |     0.0421 |   0.1156
  135 |    0.9671 |  0.9401 |     0.0419 |   0.1155
  140 |    0.9671 |  0.9363 |     0.0431 |   0.1190
  145 |    0.9727 |  0.9401 |     0.0405 |   0.1122
  150 |    0.9652 |  0.9363 |     0.0434 |   0.1200
