Epoch | Train Acc | Val Acc | Train Loss | Val Loss
------------------------------------------------------------
    1 |    0.7283 |  0.7168 |     0.2835 |   0.2928
    5 |    0.8661 |  0.8653 |     0.1704 |   0.1688
   10 |    0.9281 |  0.9149 |     0.1051 |   0.1057
   15 |    0.9321 |  0.9267 |     0.1022 |   0.1020
   20 |    0.9207 |  0.9010 |     0.1001 |   0.1216
   25 |    0.9360 |  0.9248 |     0.0876 |   0.0930
   30 |    0.9291 |  0.9208 |     0.0948 |   0.1009
   35 |    0.9266 |  0.8970 |     0.0990 |   0.1428
   40 |    0.9306 |  0.8931 |     0.0892 |   0.1298
   45 |    0.9509 |  0.9208 |     0.0660 |   0.1123
   50 |    0.9529 |  0.9149 |     0.0698 |   0.1075
   55 |    0.9460 |  0.9010 |     0.0671 |   0.1340
   60 |    0.9593 |  0.9248 |     0.0534 |   0.0983
   65 |    0.9569 |  0.9089 |     0.0606 |   0.1273
   70 |    0.9628 |  0.9208 |     0.0515 |   0.1149
   75 |    0.9628 |  0.9208 |     0.0503 |   0.1142
   80 |    0.9658 |  0.9208 |     0.0498 |   0.1158
   85 |    0.9633 |  0.9149 |     0.0526 |   0.1231
   90 |    0.9593 |  0.9030 |     0.0566 |   0.1372
   95 |    0.9638 |  0.9149 |     0.0509 |   0.1270
  100 |    0.9613 |  0.9089 |     0.0525 |   0.1316
  105 |    0.9633 |  0.9069 |     0.0537 |   0.1351
  110 |    0.9584 |  0.8931 |     0.0580 |   0.1450
  115 |    0.9593 |  0.9030 |     0.0555 |   0.1410
  120 |    0.9653 |  0.9208 |     0.0481 |   0.1201
  125 |    0.9648 |  0.9149 |     0.0503 |   0.1284
  130 |    0.9643 |  0.9149 |     0.0500 |   0.1253
  135 |    0.9618 |  0.9069 |     0.0523 |   0.1333
  140 |    0.9668 |  0.9168 |     0.0490 |   0.1243
  145 |    0.9638 |  0.9109 |     0.0513 |   0.1298
  150 |    0.9643 |  0.9149 |     0.0506 |   0.1269
